 |A  |   |   |   |   |   |   |   |   |   |   |   |   |   |   | states> A: Active[30], B: Waiting[9], C: Waiting[29], 
 |A  |A  |   |   |   |   |   |   |   |   |   |   |   |   |   | states> A: Active[29], B: Waiting[8], C: Waiting[28], 
 |A  |A  |A  |   |   |   |   |   |   |   |   |   |   |   |   | states> A: Active[28], B: Waiting[7], C: Waiting[27], 
 |A  |A  |A  |A  |   |   |   |   |   |   |   |   |   |   |   | states> A: Active[27], B: Waiting[6], C: Waiting[26], 
 |A  |A  |A  |A  |A  |   |   |   |   |   |   |   |   |   |   | states> A: Active[26], B: Waiting[5], C: Waiting[25], 
 |A  |A  |A  |A  |A  |A  |   |   |   |   |   |   |   |   |   | states> A: Active[25], B: Waiting[4], C: Waiting[24], 
 |A  |A  |A  |A  |A  |A  |A  |   |   |   |   |   |   |   |   | states> A: Active[24], B: Waiting[3], C: Waiting[23], 
 |A  |A  |A  |A  |A  |A  |A  |A  |   |   |   |   |   |   |   | states> A: Active[23], B: Waiting[2], C: Waiting[22], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |   |   |   |   |   |   | states> A: Active[22], B: Waiting[1], C: Waiting[21], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |   |   |   |   |   | states> A: Active[21], B: Waiting[0], C: Waiting[20], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |   |   |   |   | states> A: Active[20], B: Waiting[0], C: Waiting[19], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |   |   |   | states> A: Active[19], B: Waiting[0], C: Waiting[18], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |   |   | states> A: Active[18], B: Waiting[0], C: Waiting[17], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |   | states> A: Active[17], B: Waiting[0], C: Waiting[16], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[16], B: Waiting[0], C: Waiting[15], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[15], B: Waiting[0], C: Waiting[14], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[14], B: Waiting[0], C: Waiting[13], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[13], B: Waiting[0], C: Waiting[12], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[12], B: Waiting[0], C: Waiting[11], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[11], B: Waiting[0], C: Waiting[10], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[10], B: Waiting[0], C: Waiting[9], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[9], B: Waiting[0], C: Waiting[8], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[8], B: Waiting[0], C: Waiting[7], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[7], B: Waiting[0], C: Waiting[6], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[6], B: Waiting[0], C: Waiting[5], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[5], B: Waiting[0], C: Waiting[4], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[4], B: Waiting[0], C: Waiting[3], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[3], B: Waiting[0], C: Waiting[2], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[2], B: Waiting[0], C: Waiting[1], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[1], B: Waiting[0], C: Waiting[0], 
 |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[0], B: Waiting[0], C: Waiting[0], 
 |   |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Waiting[0], B: Waiting[0], C: Waiting[0], 
 |A  |   |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[30], B: Waiting[0], C: Waiting[0], 
 |A  |A  |   |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[29], B: Waiting[0], C: Waiting[0], 
 |A  |A  |A  |   |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[28], B: Waiting[0], C: Waiting[0], 
 |A  |A  |A  |A  |   |A  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[27], B: Waiting[0], C: Waiting[0], 
 |A  |A  |A  |A  |A  |B  |A  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[26], B: Active[30], C: Waiting[0], 
 |A  |A  |A  |A  |AB |A# |B  |A  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[25], B: Collided[29], C: Waiting[0], 
 |A  |A  |A  |AB |A# |A# |A# |B  |A  |A  |A  |A  |A  |A  |A  | states> A: Active[24], B: Collided[28], C: Waiting[0], 
 |A  |A  |AB |A# |A# |A# |A# |A# |B  |A  |A  |A  |A  |A  |A  | states> A: Active[23], B: Collided[27], C: Waiting[0], 
 |A  |AB |A# |A# |A# |A# |A# |A# |A# |B  |A  |A  |A  |A  |A  | states> A: Active[22], B: Collided[26], C: Waiting[0], 
 |B# |A# |A# |A# |A# |A# |A# |A# |A# |A# |B  |A  |A  |A  |A  | states> A: Collided[29], B: Collided[25], C: Waiting[0], 
